Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
1,0.370594257,0.424389446,0.405749772,0.601457213,0.601457213,0.998969203,0.796887146,0.808809361,0.302646434,0.78098485,0.000125697,0,0.458143144,0.000725073,0,0.147949939,0.147949939,0.147949939,0.169140588,0.311664427,0.01755978,0.095920528,0.13873616,0.022102278,0.848194995,0.688979463,0.688979463,0.217535386,4980000000,0.000326977,0.263099984,0.363725271,0.002258963,0.001207755,0.629951302,0.021265924,0.207576261,0.792423739,0.005024455,0.390284354,0.006478502,0.095884834,0.137757334,0.398035698,0.086956522,0.001813884,0.003487364,0.000182093,0.000116501,0.032903226,0.034164182,0.392912869,0.037135302,0.672775292,0.166672959,0.190642959,0.004094406,0.001996771,0.000147336,0.14730845,0.334015171,0.276920158,0.00103599,0.676269176,0.721274552,0.339077007,0.025592368,0.903224771,0.002021613,0.064855708,701000000,6550000000,0.593830504,458000000,0.671567654,0.424205762,0.676269176,0.339077007,0.126549488,0.637555395,0.458609148,0.520381918,0.312904948,0.118250477,0,0.716845343,0.00921944,0.622878959,0.60145329,0.827890214,0.290201893,0.026600631,0.564050112,1,0.016468741
1,0.464290937,0.53821413,0.516730018,0.610235086,0.610235086,0.998945978,0.797380191,0.809300726,0.30355643,0.781505974,0.000289785,0,0.461867257,0.000647065,0,0.182251064,0.182251064,0.182251064,0.208943935,0.318136804,0.021144335,0.09372201,0.169917903,0.02208017,0.848087884,0.689692901,0.689701702,0.217619596,6110000000,0.00044304,0.264515778,0.376709139,0.006016206,0.004039367,0.635172463,0.012502394,0.171176346,0.828823654,0.005058882,0.37676002,0.005835039,0.093743384,0.168961617,0.397724883,0.064467766,0.001286356,0.004916808,9360000000,719000000,0.025483871,0.006888651,0.391589969,0.012334972,0.751110917,0.127236002,0.182419054,0.014947727,0.00413603,0.00138391,0.056962827,0.341105992,0.289641576,0.005209682,0.308588593,0.731975289,0.329740148,0.023946819,0.931065218,0.002225608,0.02551586,0.00010652,7700000000,0.593915548,2490000000,0.671569942,0.468828128,0.308588593,0.329740148,0.120916106,0.641099985,0.459001053,0.567101309,0.314163135,0.047775282,0,0.795297136,0.008323302,0.623651742,0.610236526,0.839969268,0.28384598,0.26457682,0.570174946,1,0.020794306
0,0.509189295,0.546881814,0.556989132,0.609990055,0.609990055,0.99898954,0.797421278,0.809347987,0.303537094,0.781607168,0.000242374,0.000199328,0.476607702,0.000269027,0,0.174371076,0.174371076,0.174371076,0.218587501,0.327438636,0.021855196,0.098119046,0.173156587,0.022016246,0.84793527,0.689190759,0.689190759,0.217569141,6020000000,0.00044284,0.263121741,0.389655751,0.017569368,0.013929733,0.630959507,0.003508148,0.08189981,0.91810019,0.005330905,0.371212952,0.005365848,0.098123992,0.172189126,0.396642386,0.130434783,0.002195327,0.002881089,0.000125917,0.000177777,0.028870968,0.019549667,0.393817417,0.013758252,0.847786889,0.469179528,0.538944961,0.150653307,0.014778239,0.013687862,0.058054413,0.370947964,0.277100985,0.007556718,0.657466596,0.737484412,0.328300795,0.005446294,0.939778981,0.002267389,0.041042419,0.000156372,0.000140423,0.593991199,0.000122771,0.671577427,0.37680746,0.657466596,0.328300795,0.114771345,0.651072712,0.461750898,0.646751371,0.315618996,0.016697183,0,0.804944704,0.000489623,0.62407303,0.609990741,0.840618145,0.277323483,0.026914225,0.565684002,1,0.046869124
0,0.398089017,0.428314435,0.44311794,0.597313308,0.597976333,0.998615629,0.794804292,0.806860307,0.299747014,0.779496566,0.000423692,4910000000,0.463516268,0.000281028,0,0.165859003,0.165859003,0.165859003,0.194384041,0.318349013,0.002177957,0.091686345,0.14973262,0.022016231,0.848033429,0.689512017,0.689512017,0.217611251,511000000,0.000394654,0.264724029,0.377854774,0.004593433,0.002089865,0.630564992,0.003111464,0.074946337,0.925053663,0.005432268,0.371210715,0.00588988,0.091675216,0.148691652,0.394526964,0.014992504,0.000578252,0.010948821,0.000138146,2420000000,0.010967742,0.00614544,0.384862396,0.030150998,0.742295071,0.093600923,0.101598053,0.009218217,0.004194535,0.001153278,0.04202961,0.343995912,0.27677431,0.00138718,0.515728864,0.731458577,0.327666872,0.023445523,0.909341797,0.001995766,0.048536917,0.00025863,0.000245432,0.593862903,603000000,0.671578535,0.327385174,0.515728864,0.327666872,0.114118672,0.644163299,0.459682589,0.57289755,0.314720797,0.061744113,0,0.729400422,0.002428243,0.623394681,0.597311085,0.835898735,0.277035586,0.026776613,0.565088081,1,0.051349349
0,0.537610296,0.559529001,0.577172225,0.608260425,0.608274838,0.999034141,0.797633493,0.809513598,0.303814323,0.781698115,0.000170101,0.000150939,0.479625576,780000000,0.134730236,0.205090388,0.205090388,0.205090388,0.222085658,0.328146,0.012931621,0.099584724,0.179332681,0.022105439,0.848050592,0.68927432,0.689269039,0.217614971,4930000000,0.000398022,0.263508715,0.381757386,0.00958749,0.00813987,0.630661909,0.0019588,0.052030112,0.947969888,0.005238358,0.371074275,0.005365848,0.099369779,0.180107081,0.39507625,0.049475262,0.001667799,0.003793064,0.000150374,5900000000,0.015322581,0.022857395,0.397537369,0.047558477,0.774357391,0.198444116,0.229374394,0.145553532,0.008083168,0.016901846,0.045319555,0.384075083,0.277200254,0.004238503,0.789641881,0.733113747,0.327632232,0.003512846,0.935872758,0.002476816,0.012922516,0.000164228,0.000146884,0.593959987,0.000286478,0.671446734,0.461233161,0.789641881,0.327632232,0.111875041,0.56039287,0.420904983,0.641607045,0.305191495,0.030416198,0,0.814628133,0.269482788,0.623649729,0.608258404,0.841094415,0.276199801,0.026799923,0.565199852,1,0.073980295
0,0.552430166,0.597906672,0.605278655,0.612908805,0.612908805,0.999182734,0.797721892,0.809591847,0.303658186,0.781866958,9570000000,4840000000,0.479674224,0.000289029,0.115396295,0.185790738,0.185790738,0.185790738,0.236078283,0.327438636,0.01604731,0.111798713,0.189801913,0.022077199,0.848019782,0.689325824,0.689331941,0.217585026,6490000000,0.000479498,0.263589528,0.381729444,0.010760029,0.009204766,0.630743757,0.003125142,0.075188197,0.924811803,0.005510771,0.371812393,0.005955689,0.110997118,0.187776186,0.395843912,0.082458771,0.001438528,0.004394216,0.000275527,0.000130118,0.021612903,0.011406665,0.400375387,0.010819659,0.778328528,0.210790728,0.226381502,0.046839205,0.009739484,0.006161636,0.039948613,0.367901551,0.277095175,0.002988921,0.488132768,0.733459329,0.327594751,0.017350089,0.944045877,0.002809059,0.011257387,0.000104338,0.000102274,0.593950285,6220000000,0.671570785,0.311625639,0.488132768,0.327594751,0.116003527,0.641455613,0.458788737,0.632750858,0.31438144,0.027161165,0,0.834128789,0.094558854,0.623241006,0.612907964,0.842418992,0.277045361,0.026826158,0.56531994,1,0.051179345
0,0.601862234,0.648604448,0.653996467,0.614472679,0.614472679,0.99924617,0.797799086,0.809659029,0.303660119,0.781897835,5720000000,3380000000,0.494198267,0.000190019,0.108108108,0.220934642,0.220934642,0.220934642,0.262172639,0.345582514,0.032170244,0.138018077,0.218799428,0.022131957,0.84807232,0.68950287,0.68950287,0.217599992,7060000000,0.000468593,0.264462161,0.388761596,0.018997133,0.016350858,0.63062458,0.001903173,0.050820812,0.949179188,0.005266779,0.370123668,0.005365848,0.137508753,0.216982128,0.396415973,0.11994003,0.001322877,0.004778475,0.000289285,0.000142978,0.024677419,0.012816709,0.40412926,0.012317179,0.834149036,0.423561273,0.444526614,0.283190727,0.017477894,0.033594239,0.044351917,0.418825412,0.277038385,0.004273094,0.790166171,0.736100781,0.327594007,0.002535209,0.953707526,0.003703108,0.007698752,0.000148992,0.000147374,0.593990811,0.000267025,0.67160741,0.444641667,0.790166171,0.327594007,0.112225035,0.691106033,0.482169389,0.700257945,0.320011067,0.015439774,0,0.862390442,0.07811879,0.623061273,0.614469665,0.843771179,0.276159363,0.026794547,0.565174512,1,0.075724322
0,0.629551991,0.636883995,0.669736067,0.624655876,0.624598221,0.999374081,0.797912525,0.809759932,0.303590993,0.782054467,9180000000,8610000000,0.528065893,0.00029603,0.097074603,0.205511778,0.205511778,0.205511778,0.254892692,0.340913914,0.018542886,0.130933963,0.204413648,0.022078337,0.848024441,0.689372307,0.689371816,0.217590036,6090000000,0.000434655,0.263807881,0.385250177,0.024528473,0.020937333,0.630630402,0.001076063,0.031018533,0.968981467,0.005309826,0.370043146,0.005365848,0.129765336,0.203393409,0.395341515,0.083958021,0.001824029,0.00346687,0.000167953,0.000102884,0.019032258,0.044821762,0.453675855,0.057359231,0.815696999,0.284752271,0.311108477,0.148316651,0.021674567,0.032129465,0.024071427,0.476210984,0.277055435,0.007715443,0.671872518,0.734935,0.326887953,0.002569614,0.962467886,0.003352364,0.009639549,0.000140791,0.000133875,0.593994714,0.000188578,0.671546509,0.439174938,0.671872518,0.326887953,0.111787329,0.616688666,0.439842432,0.715558142,0.311820419,0.011932943,0,0.859322596,0.51141574,0.623412628,0.624657727,0.843335053,0.27555948,0.026796274,0.565182679,1,0.120461238
0,0.566275045,0.59261884,0.613255528,0.621009239,0.620915551,0.999157661,0.797659086,0.809556043,0.303600903,0.781846326,0.000249312,0.00019814,0.487464667,0.000311031,0.051725883,0.175045299,0.175045299,0.175045299,0.229554694,0.327650845,0.012024139,0.106261705,0.182194773,0.022150683,0.848178184,0.689784425,0.689784425,0.217647769,7360000000,0.000483965,0.264218166,0.383899631,0.028822999,0.022138226,0.630682799,0.001740851,0.047162681,0.952837319,0.005479765,0.370552,0.005565711,0.10620939,0.181027072,0.396446787,0.088455772,0.001592728,0.003970677,7030000000,0.0001339,0.020483871,0.020240001,0.405214717,0.019515155,0.879011496,0.516046267,0.590298831,0.417985899,0.024282409,0.056568089,0.038817611,0.39897368,0.27707724,0.012068161,0.740721962,0.738252639,0.327398894,0.001918033,0.942800468,0.002456012,0.025888674,0.000282689,0.000252017,0.5940753,0.000540641,0.671631607,0.325250721,0.740721962,0.327398894,0.112207195,0.702252952,0.489465681,0.659088704,0.321173101,0.010128542,0,0.830214407,0.040287607,0.625261154,0.62101069,0.841936328,0.276041371,0.02679706,0.565186386,1,0.081406029
0,0.526690391,0.587603576,0.578350019,0.611344931,0.611344931,0.999164247,0.79781707,0.809671658,0.303863146,0.781771519,8920000000,5620000000,0.47561125,0.000191019,0.114586497,0.192532974,0.192532974,0.192532974,0.226812896,0.327863054,0.013476111,0.107971664,0.190404459,0.022058014,0.848005148,0.689490867,0.689495426,0.217585241,5980000000,0.000450551,0.26419874,0.380378898,0.018381222,0.017652813,0.630789989,0.004564149,0.098376515,0.901623485,0.005359381,0.37424259,0.005365848,0.107137623,0.188786668,0.396031473,0.053973013,0.000760857,0.008320489,0.000292342,7040000000,0.017903226,0.023853238,0.408120576,0.040546327,0.831634724,0.437753297,0.437965479,0.177618203,0.017737826,0.020699142,0.045156031,0.359178776,0.277006279,0.00201379,0.424640648,0.736943929,0.327967341,0.013537864,0.942307785,0.002958089,0.007751893,0.000321414,0.000327904,0.594068521,0.000348479,0.671584858,0.378034948,0.424640648,0.327967341,0.11935217,0.651211753,0.461388938,0.624437066,0.315725518,0.01595845,0,0.829012682,0.007389136,0.623088413,0.611343785,0.842339732,0.278088852,0.026839942,0.56538075,1,0.038640042
